leaderboard_name,pretty_name
60s,Group 2
70s,Group 3
80s,Group 4
GroupB,Group B
GroupS,Group S
GroupA,Group A
Bonus_Vans,Vans
Bonus_Dakar,Dakar
Bonus_Logging,Logging
Bonus_Monkey,Triwheelers
